Area,latitude,longitude
Agripada,18.97504,72.8250555
Andheri East,19.112986961613693,72.86084551760392
Andheri West,19.119219610082304,72.83646042325104
Chembur East,19.073579118965515,72.85139704827586
Chembur West,19.075353551612906,72.87840498064516
Dadar East,19.018778195364238,72.85311320596026
Dadar West,19.01959140357143,72.83945964345237
Dahisar East,19.202954885164836,72.87030487747252
Dahisar West,19.24634549512195,72.85322684390245
Dombivli East,19.210128606603774,73.08222484080189
Dombivli West,19.220855876190473,73.07565361428571
Ghatkopar West,19.069209,72.88177933333333
Goregaon East,19.164368594610778,72.86005392904192
Goregaon West,19.0908037,72.9167981
Grant Road,18.963354899999995,72.8158261
Jogeshwari East,19.133645196551726,72.85776376896551
Jogeshwari Vikhroli Link Road,19.132856554385963,72.88210375964913
Jogeshwari West,19.135632041428572,72.83919058
Kalyan East,19.225662345945945,73.11825112837838
Kalyan West,19.235557168292683,73.11680581544715
Kandivali East,19.194310095555554,72.86791243160495
Kandivali West,19.19969051198738,72.84037819621452
Khar West,19.06882352048193,72.83742670722891
Lower Parel East,19.054999,72.8692035
Lower Parel West,19.054999,72.8692035
Mahalaxmi Race Course,19.054999,72.8692035
Mahim West,19.0317058,72.8408104
Malad East,19.171004673459716,72.85907823791469
Marine Lines,18.97307275,72.83509034999999
Matunga,19.0311964,72.8546111
Matunga East,19.02416375625,72.85127063958333
Matunga West,19.034569047457627,72.84446935423729
Mira Road East,19.062259137288134,72.873419079661
"Miragaon, Mira Road",19.054999,72.8692035
Mumbai Central,18.9706764,72.82046326000001
Naigaon East,19.0137554,72.8462943
Nalasopara East,19.059121626666663,72.86698183
Nalasopara West,19.054999,72.8692035
Oshiwara,19.150248831034485,72.83288265689654
Prabhadevi,19.01060607378641,72.83725019223301
Santacruz East,19.078102196296296,72.86586359074074
Santacruz West,19.0836385,72.83736176666667
Sion East,19.041690250000002,72.86502279999999
Sion Koliwada,19.042991766129035,72.86510308709678
Sion West,19.0474971,72.8638738
Thane East,19.178998344444445,72.96837561666666
Thane West,19.21707648805395,72.97719544845857
Vasai East,19.054999,72.8692035
Vasai West,19.055798725,72.86672010625
Vile Parle East,19.094984672,72.84948605599999
Vile Parle West,19.104815210714285,72.83985512857143
Virar East,19.054999,72.8692035
Virar West,19.05682385935829,72.87095050695187
